,regularizer1,regularizer2,epochs,price_r_score,return_r_score,price_mse,return_mse
59,0.1,0.5,100.0,0.9738821903307565,-0.15775613082105622,5.467961843442892e-07,4.722664300712086e-07
60,0.3,0.0,100.0,0.8395093747097984,-0.011886820927106578,3.88167593664068e-06,2.9637509422175914e-06
61,0.3,0.01,100.0,0.741187179423786,-0.02929128200589748,7.059938735104552e-06,5.3357419394004376e-06
62,0.3,0.05,100.0,0.7458532033263197,-0.07811052728232037,6.692105969571142e-06,5.084327053048585e-06
63,0.3,0.1,100.0,0.7914414342360493,-0.01771998744000869,5.4133832420766934e-06,4.121041191342708e-06
64,0.3,0.3,100.0,0.9235067151221273,-0.06291928997694463,1.6736128086864834e-06,1.3160265972024644e-06
65,0.3,0.5,100.0,0.9749859559303505,-0.14797937988949839,5.260349388301546e-07,4.5417321714174924e-07
66,0.5,0.0,100.0,0.6054259834482882,-0.10889300271307611,1.2740401754795105e-05,9.664845289961701e-06
67,0.5,0.01,100.0,0.8012282888565577,-0.03343023128318445,5.06566114742109e-06,3.876278974083604e-06
68,0.5,0.05,100.0,0.8846946951036125,-0.030818864390962597,2.6682777551655024e-06,2.0745868003250353e-06
69,0.5,0.1,100.0,0.9419709548403826,-0.08910197073798387,1.2487507988184408e-06,1.0081286899923033e-06
70,0.5,0.3,100.0,0.9636735108643876,-0.1111016346395437,7.713877796555511e-07,6.412009919300584e-07
71,0.5,0.5,100.0,0.9919731545964067,-0.4698350459671563,1.6489839006592048e-07,1.8258934776025684e-07
72,0.0,0.0,150.0,0.26989345133150056,-0.0021005435681471507,5.8597836012536117e-05,4.4087613661386666e-05
73,0.0,0.01,150.0,0.46644690937959543,-0.004824589637209442,2.351947257375178e-05,1.7646045474679534e-05
74,0.0,0.05,150.0,0.6136300278986844,-0.0061411222400857834,1.281358968808821e-05,9.648029395348458e-06
75,0.0,0.1,150.0,0.5880651333347708,-0.007276118856605285,1.4634566258659168e-05,1.1182036591881874e-05
76,0.0,0.3,150.0,0.8864919299730498,-0.034926616904655594,2.6328651312400924e-06,2.0402564075281103e-06
77,0.0,0.5,150.0,0.89614614084369,-0.20796993127292285,2.309779552402362e-06,1.8134760317802123e-06
78,0.01,0.0,150.0,0.45620846070886323,-0.005673376594855339,2.4238103909553007e-05,1.7853334834351106e-05
79,0.01,0.01,150.0,0.5209360433342608,-0.0028119096666756604,1.8801146220520763e-05,1.3991476030130032e-05
80,0.01,0.05,150.0,0.4303783644818555,-0.015365461434971195,2.54170239982763e-05,1.915535961359067e-05
81,0.01,0.1,150.0,0.886255451949606,-0.04216162869217954,2.6212133109476806e-06,2.0504085855533696e-06
82,0.01,0.3,150.0,0.969717020818996,-0.1657986480299598,6.361447438628095e-07,5.406934253565275e-07
83,0.01,0.5,150.0,0.9666070334386709,-0.13200402696456548,7.074786133949251e-07,6.022157524347433e-07
84,0.05,0.0,150.0,0.729421571399158,-0.015083758593362973,7.576577689203816e-06,5.803896522117798e-06
85,0.05,0.01,150.0,0.6558754802371083,-0.010557762094938639,1.0582942498060912e-05,8.115065924554062e-06
86,0.05,0.05,150.0,0.8010828594065815,-0.01960566792659102,5.1094846950973444e-06,3.927365566415099e-06
87,0.05,0.1,150.0,0.8355414993249947,-0.02689255630306442,4.05152094369469e-06,3.156413138156827e-06
88,0.05,0.3,150.0,0.9702630389123277,-0.16948713984912955,6.202010555949783e-07,5.284831943102783e-07
89,0.05,0.5,150.0,0.9924908612624013,-0.5072927035939867,1.539841221017965e-07,1.7498020107162268e-07
90,0.1,0.0,150.0,0.4608354896953437,-0.015550384186117983,2.3726461445373434e-05,1.7871213218898086e-05
91,0.1,0.01,150.0,0.7407761626481888,-0.007090008409516013,7.2558918110462864e-06,5.516733440287993e-06
92,0.1,0.05,150.0,0.6204781196616371,-0.009321827887471601,1.2589336972237222e-05,9.610410838293511e-06
93,0.1,0.1,150.0,0.8832556146717879,-0.03535600366276914,2.6924256550762934e-06,2.0872328311092006e-06
94,0.1,0.3,150.0,0.9805851384143975,-0.19985414556185677,4.0271553795549393e-07,3.6390345455559327e-07
95,0.1,0.5,150.0,0.9829796285959493,-0.26151328455616585,3.531761881959058e-07,3.3232142297147153e-07
96,0.3,0.0,150.0,0.8389461748425312,-0.024567708947624833,3.877589522712007e-06,2.9810610604053014e-06
97,0.3,0.01,150.0,0.856583801254069,-0.04272338899143535,3.411714823398229e-06,2.6455589995401666e-06
98,0.3,0.05,150.0,0.9339584026746808,-0.05856786384334067,1.4343361635216077e-06,1.1428515919097544e-06
99,0.3,0.1,150.0,0.923868277343981,-0.053502025065848446,1.68206594798923e-06,1.3362089115303757e-06
100,0.3,0.3,150.0,0.9774345419236625,-0.17716917362427398,4.681281634928917e-07,4.083481425375793e-07
101,0.3,0.5,150.0,0.9843041779050345,-0.25134574113553554,3.236516410515538e-07,3.051216712279433e-07
102,0.5,0.0,150.0,0.9028492201645821,-0.04252414015579187,2.2160483575587245e-06,1.7320034221319074e-06
103,0.5,0.01,150.0,0.9548780952438091,-0.08798783296396717,9.641396057133767e-07,7.902385614841833e-07
104,0.5,0.05,150.0,0.9593398357907301,-0.10176539630997028,8.644432629170979e-07,7.028405173091111e-07
105,0.5,0.1,150.0,0.973293920775861,-0.1442664084374401,5.581622089622639e-07,4.80493185020475e-07
106,0.5,0.3,150.0,0.9963179196663713,-1.1467088879233542,7.524772978811074e-08,1.194969280797005e-07
107,0.5,0.5,150.0,0.994463238163273,-0.7822573716418408,1.1337402531220941e-07,1.4744367558618827e-07
108,0.0,0.0,200.0,0.2964938933677913,-0.0024406944356787363,4.829157610795209e-05,3.7141847051156486e-05
